X, Y, Z, beta,B,J,iter,mag
10,10,1,1,0,0,10000000,1.6168e-05
10,10,1,1,0,0.1,10000000,4.1076e-05
10,10,1,1,0,0.2,10000000,0.00100576
10,10,1,1,0,0.3,10000000,0.00377971
10,10,1,1,0,0.4,10000000,0.0171885
10,10,1,1,0,0.5,10000000,0.163741
10,10,1,1,0,0.6,10000000,0.97367
10,10,1,1,0,0.7,10000000,0.990223
10,10,1,1,0,0.8,10000000,0.99602
10,10,1,1,0,0.9,10000000,0.998335
10,10,1,1,0,1,10000000,0.99926
10,10,1,1,0.1,0,10000000,0.0997936
10,10,1,1,0.1,0.1,10000000,0.155534
10,10,1,1,0.1,0.2,10000000,0.271493
10,10,1,1,0.1,0.3,10000000,0.536653
10,10,1,1,0.1,0.4,10000000,0.83603
10,10,1,1,0.1,0.5,10000000,0.947872
10,10,1,1,0.1,0.6,10000000,0.981012
10,10,1,1,0.1,0.7,10000000,0.992397
10,10,1,1,0.1,0.8,10000000,0.996816
10,10,1,1,0.1,0.9,10000000,0.998643
10,10,1,1,0.1,1,10000000,0.99939
10,10,1,1,0.2,0,10000000,0.19746
10,10,1,1,0.2,0.1,10000000,0.30025
10,10,1,1,0.2,0.2,10000000,0.484043
10,10,1,1,0.2,0.3,10000000,0.734212
10,10,1,1,0.2,0.4,10000000,0.900694
10,10,1,1,0.2,0.5,10000000,0.963182
10,10,1,1,0.2,0.6,10000000,0.985446
10,10,1,1,0.2,0.7,10000000,0.99408
10,10,1,1,0.2,0.8,10000000,0.997506
10,10,1,1,0.2,0.9,10000000,0.998886
10,10,1,1,0.2,1,10000000,0.999522
10,10,1,1,0.3,0,10000000,0.291195
10,10,1,1,0.3,0.1,10000000,0.428128
10,10,1,1,0.3,0.2,10000000,0.628158
10,10,1,1,0.3,0.3,10000000,0.823555
10,10,1,1,0.3,0.4,10000000,0.930513
10,10,1,1,0.3,0.5,10000000,0.972768
10,10,1,1,0.3,0.6,10000000,0.989034
10,10,1,1,0.3,0.7,10000000,0.995369
10,10,1,1,0.3,0.8,10000000,0.998022
10,10,1,1,0.3,0.9,10000000,0.99915
10,10,1,1,0.3,1,10000000,0.999644
10,10,1,1,0.4,0,10000000,0.38008
10,10,1,1,0.4,0.1,10000000,0.536433
10,10,1,1,0.4,0.2,10000000,0.727056
10,10,1,1,0.4,0.3,10000000,0.874748
10,10,1,1,0.4,0.4,10000000,0.948723
10,10,1,1,0.4,0.5,10000000,0.979387
10,10,1,1,0.4,0.6,10000000,0.991256
