m^2,lambda,nsteps,mag,abs mag
-3,0.5,50000,-5.39306,5.39306,
-2.7,0.5,50000,5.11742,5.11742,
-2.4,0.5,50000,-4.82324,4.82324,
-2.1,0.5,50000,4.50882,4.50882,
-1.8,0.5,50000,-4.17435,4.17435,
-1.5,0.5,50000,3.81109,3.81109,
-1.2,0.5,50000,3.4004,3.4004,
-0.9,0.5,50000,2.8954,2.8954,
-0.6,0.5,50000,-2.29291,2.29291,
-0.3,0.5,50000,-1.47719,1.47719,
0,0.5,50000,-0.270339,0.270358,
0.3,0.5,50000,-0.00405568,0.0619313,
0.6,0.5,50000,0.0149863,0.0341917,
0.9,0.5,50000,0.00452357,0.0347641,
1.2,0.5,50000,-0.0051968,0.0284427,
1.5,0.5,50000,-0.00818068,0.0252614,
1.8,0.5,50000,-0.00478983,0.0241099,
2.1,0.5,50000,0.00256905,0.0221697,
2.4,0.5,50000,0.000767147,0.0206577,
2.7,0.5,50000,-0.00751781,0.0227281,
3,0.5,50000,-0.00757299,0.0242703,
