m^2,lambda,mag,abs mag
-1,0,0.0151112,0.0151112,
-1,0.1,0.015111,0.015111,
-1,0.2,0.0151108,0.0151108,
-1,0.3,0.0151106,0.0151106,
-1,0.4,0.0151104,0.0151104,
-1,0.5,0.0151102,0.0151102,
-1,0.6,0.01511,0.01511,
-1,0.7,0.0151098,0.0151098,
-1,0.8,0.0151096,0.0151096,
-1,0.9,0.0151094,0.0151094,
-1,1,0.0151092,0.0151092,
-0.9,0,0.0151109,0.0151109,
-0.9,0.1,0.0151107,0.0151107,
-0.9,0.2,0.0151105,0.0151105,
-0.9,0.3,0.0151103,0.0151103,
-0.9,0.4,0.0151101,0.0151101,
-0.9,0.5,0.0151098,0.0151098,
-0.9,0.6,0.0151096,0.0151096,
-0.9,0.7,0.0151094,0.0151094,
-0.9,0.8,0.0151092,0.0151092,
-0.9,0.9,0.015109,0.015109,
-0.9,1,0.0151088,0.0151088,
-0.8,0,0.0151105,0.0151105,
-0.8,0.1,0.0151103,0.0151103,
-0.8,0.2,0.0151101,0.0151101,
-0.8,0.3,0.0151099,0.0151099,
-0.8,0.4,0.0151097,0.0151097,
-0.8,0.5,0.0151095,0.0151095,
-0.8,0.6,0.0151093,0.0151093,
-0.8,0.7,0.0151091,0.0151091,
-0.8,0.8,0.0151089,0.0151089,
-0.8,0.9,0.0151087,0.0151087,
-0.8,1,0.0151085,0.0151085,
-0.7,0,0.0151102,0.0151102,
-0.7,0.1,0.01511,0.01511,
-0.7,0.2,0.0151098,0.0151098,
-0.7,0.3,0.0151096,0.0151096,
-0.7,0.4,0.0151094,0.0151094,
-0.7,0.5,0.0151091,0.0151091,
-0.7,0.6,0.0151089,0.0151089,
-0.7,0.7,0.0151087,0.0151087,
-0.7,0.8,0.0151085,0.0151085,
-0.7,0.9,0.0151083,0.0151083,
-0.7,1,0.0151081,0.0151081,
-0.6,0,0.0151098,0.0151098,
-0.6,0.1,0.0151096,0.0151096,
-0.6,0.2,0.0151094,0.0151094,
-0.6,0.3,0.0151092,0.0151092,
-0.6,0.4,0.015109,0.015109,
-0.6,0.5,0.0151088,0.0151088,
-0.6,0.6,0.0151086,0.0151086,
-0.6,0.7,0.0151084,0.0151084,
-0.6,0.8,0.0151082,0.0151082,
-0.6,0.9,0.015108,0.015108,
-0.6,1,0.0151078,0.0151078,
-0.5,0,0.0151095,0.0151095,
-0.5,0.1,0.0151093,0.0151093,
-0.5,0.2,0.0151091,0.0151091,
-0.5,0.3,0.0151089,0.0151089,
-0.5,0.4,0.0151086,0.0151086,
-0.5,0.5,0.0151084,0.0151084,
-0.5,0.6,0.0151082,0.0151082,
-0.5,0.7,0.015108,0.015108,
-0.5,0.8,0.0151078,0.0151078,
-0.5,0.9,0.0151076,0.0151076,
-0.5,1,0.0151074,0.0151074,
-0.4,0,0.0151091,0.0151091,
-0.4,0.1,0.0151089,0.0151089,
-0.4,0.2,0.0151087,0.0151087,
-0.4,0.3,0.0151085,0.0151085,
-0.4,0.4,0.0151083,0.0151083,
-0.4,0.5,0.0151081,0.0151081,
-0.4,0.6,0.0151079,0.0151079,
-0.4,0.7,0.0151077,0.0151077,
-0.4,0.8,0.0151075,0.0151075,
-0.4,0.9,0.0151073,0.0151073,
-0.4,1,0.0151071,0.0151071,
-0.3,0,0.0151088,0.0151088,
-0.3,0.1,0.0151086,0.0151086,
-0.3,0.2,0.0151084,0.0151084,
-0.3,0.3,0.0151082,0.0151082,
-0.3,0.4,0.0151079,0.0151079,
