m^2,lambda,mag,abs mag
-1,0,-0.0714231,-0.0714231,
-0.9,0,-0.0700057,-0.0700057,
-0.8,0,-0.0687292,-0.0687292,
-0.7,0,-0.0632016,-0.0632016,
-0.6,0,-0.0616702,-0.0616702,
-0.5,0,-0.0615454,-0.0615454,
-0.4,0,-0.0606267,-0.0606267,
-0.3,0,-0.0595745,-0.0595745,
-0.2,0,-0.0583886,-0.0583886,
-0.1,0,-0.057554,-0.057554,
0,0,-0.0570293,-0.0570293,
0.1,0,-0.0526663,-0.0526663,
0.2,0,-0.0526537,-0.0526537,
0.3,0,-0.0514738,-0.0514738,
0.4,0,-0.0505322,-0.0505322,
0.5,0,-0.0514145,-0.0514145,
0.6,0,-0.0503256,-0.0503256,
0.7,0,-0.0504414,-0.0504414,
0.8,0,-0.0498175,-0.0498175,
0.9,0,-0.0494694,-0.0494694,
1,0,-0.0485626,-0.0485626,
