m^2,lambda,nsteps,mag,abs mag
-3,0.5,100000,-3.18825,3.18825,
-2.7,0.5,100000,2.39494,2.39494,
-2.4,0.5,100000,4.30423,4.30423,
-2.1,0.5,100000,-2.03886,2.03886,
-1.8,0.5,100000,-4.04522,4.04522,
-1.5,0.5,100000,3.7341,3.7341,
-1.2,0.5,100000,3.28282,3.28282,
-0.9,0.5,100000,2.75715,2.75715,
-0.6,0.5,100000,-2.11734,2.11734,
-0.3,0.5,100000,-0.365275,0.459256,
0,0.5,100000,0.213254,0.359031,
0.3,0.5,100000,0.00428575,0.186405,
0.6,0.5,100000,0.0540034,0.17189,
0.9,0.5,100000,0.0243307,0.133983,
1.2,0.5,100000,0.037962,0.110431,
1.5,0.5,100000,0.0227162,0.114044,
1.8,0.5,100000,-0.00238281,0.102273,
2.1,0.5,100000,0.000472622,0.0913294,
2.4,0.5,100000,0.00171183,0.0958802,
2.7,0.5,100000,-0.00172877,0.0896641,
3,0.5,100000,-0.00998369,0.0787783,
