m^2,lambda,nsteps,mag,abs mag
-3,0.5,10000,3.24913,3.24913,
-2.7,0.5,10000,1.21618,1.21621,
-2.4,0.5,10000,-1.91773,1.91773,
-2.1,0.5,10000,-3.81946,3.81946,
-1.8,0.5,10000,-1.67255,1.67255,
-1.5,0.5,10000,-1.54646,1.54646,
-1.2,0.5,10000,-0.23316,0.249297,
-0.9,0.5,10000,1.5157,1.5157,
-0.6,0.5,10000,-0.820207,0.820595,
-0.3,0.5,10000,-0.0285028,0.17208,
0,0.5,10000,0.132862,0.15901,
0.3,0.5,10000,-0.100214,0.156371,
0.6,0.5,10000,0.0226132,0.0915486,
0.9,0.5,10000,-0.0161682,0.132209,
1.2,0.5,10000,-0.117387,0.136988,
1.5,0.5,10000,-0.0273047,0.0734729,
1.8,0.5,10000,-0.0530234,0.117427,
2.1,0.5,10000,-0.0263057,0.0937089,
2.4,0.5,10000,-0.00108024,0.0868907,
2.7,0.5,10000,-0.0223453,0.0854413,
3,0.5,10000,0.0241276,0.0847058,
